soc_code,occupation_title,category_id,education_id,employment,annual_wage,ai_exposure,ai_exposure_llm_human,ai_exposure_aioe,exposure_level,verbal_ability,quant_ability,spatial_ability,reasoning_ability,ai_exposure_llm_gpt4
43-9061,"General office clerks",3,3,2646000,43630,0.5,0.5,0.989,High,3.75,2.685,1.56,2.873,0.576
45-4011,"Forest and conservation workers",23,3,10800,43680,0.065,0.065,-1.064,Low,3.28,2.435,2.88,3.179,0.043
45-4020,"Logging workers",23,3,44300,49540,0.115,0.115,-1.092,Low,2.823,2.585,2.855,2.852,0.143
47-2011,Boilermakers,18,3,10400,73340,0,0,-1.098,Low,3.155,2.38,2.75,3.234,0.03
47-2031,Carpenters,18,3,959000,59310,0.089,0.089,-1.324,Low,3.046,2.782,3.06,3.124,0.144
47-2040,"Flooring installers and tile and stone setters",18,8,112300,52000,0.017,0.017,-1.46,Low,2.875,2.298,2.5,2.831,0.055
47-2070,"Construction equipment operators",18,3,539500,58320,0.029,0.029,-1.095,Low,2.676,2.04,2.917,2.727,0.018
47-2080,"Drywall installers, ceiling tile installers, and tapers",18,8,118600,58800,0.01,0.01,-1.594,Low,2.751,1.905,2.47,2.669,0.021
47-2111,Electricians,18,3,818700,62350,0.146,0.146,-0.78,Low,3.185,3,2.75,3.41,0.146
47-2121,Glaziers,18,3,60500,55440,0.031,0.031,-1.389,Low,2.815,2.315,2.5,2.803,0.083
47-2130,"Insulation workers",18,6,67400,50730,0.073,0.073,-1.444,Low,2.955,2.188,2.532,2.805,0.048
47-2141,"Painters, construction and maintenance",18,8,342200,48660,0.029,0.029,-1.588,Low,2.843,2.06,2.375,2.627,0.057
47-2152,"Plumbers, pipefitters, and steamfitters",18,3,504500,62970,0.064,0.064,-1.121,Low,3.17,2.628,2.875,3.223,0.075
47-2181,Roofers,18,8,166700,50970,0,0,-1.753,Low,2.78,2.06,2.5,2.857,0.04
47-2211,"Sheet metal workers",18,3,127000,60850,0.039,0.039,-1.175,Low,2.938,2.875,3,2.964,0.066
47-2231,"Solar photovoltaic installers",18,3,28600,51860,0.11,0.11,-0.944,Low,2.875,2.315,2.935,3.144,0.11
47-4011,"Construction and building inspectors",18,3,147600,72120,0.282,0.282,0.286,Medium,3.815,2.94,2.625,3.519,0.334
47-4021,"Elevator and escalator installers and repairers",18,3,24200,106580,0.079,0.079,-0.86,Low,3.472,2.125,2.755,3.287,0.184
47-4041,"Hazardous materials removal workers",18,3,51300,48490,0.032,0.032,-0.689,Low,3.562,2.44,2.685,3.341,0.081
49-3023,"Automotive service technicians and mechanics",19,5,805600,49670,0.073,0.073,-0.955,Low,3.064,2.093,2.688,3.213,0.082
49-3031,"Diesel service technicians and mechanics",19,3,319900,60640,0,0,-1.01,Low,2.905,2.06,2.56,3.141,0
49-3040,"Heavy vehicle and mobile equipment service technicians",19,3,245600,62740,0.121,0.121,-1.275,Low,2.969,2.523,2.895,3.077,0.104
49-3050,"Small engine mechanics",19,6,78000,48240,0.049,0.049,-0.848,Low,3.01,2.06,2.627,3.167,0.085
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",19,5,425200,59810,0.14,0.14,-0.849,Low,3.248,2.625,2.968,3.26,0.105
49-9051,"Electrical power-line installers and repairers",19,3,127400,92560,0,0,-1.081,Low,3.315,2.25,2.81,3.319,0
49-9062,"Medical equipment repairers",19,7,68000,62630,0.273,0.273,-0.277,Medium,3.125,2.94,2.5,3.306,0.303
49-9071,"General maintenance and repair workers",19,3,1629700,48620,0.078,0.078,-1.014,Low,3,2.12,2.75,2.979,0.137
49-9081,"Wind turbine technicians",19,5,13600,62580,0.043,0.043,-0.971,Low,3.25,2.06,2.75,3.25,0.043
51-3011,Bakers,22,8,249100,36650,0.118,0.118,-0.385,Low,2.968,2.25,1.94,2.929,0.265
51-3021,Butchers,22,8,143100,38960,0.026,0.026,-0.971,Low,2.81,2.56,2.19,2.747,0.132
51-4121,"Welders, cutters, solderers, and brazers",22,3,457300,51000,0.039,0.039,-1.198,Low,2.562,2,2.343,2.652,0.088
51-8010,"Power plant operators, distributors, and dispatchers",22,3,46600,103600,0.154,0.154,0.308,Low,3.781,2.647,2.272,3.412,0.283
51-8021,"Stationary engineers and boiler operators",22,3,33300,75190,0.105,0.105,-0.503,Low,3.405,2,2.375,3.034,0.163
51-8031,"Water and wastewater treatment plant and system operators",22,3,132400,58260,0.125,0.125,-0.445,Low,3.56,2.815,2.375,3,0.125
51-9061,"Quality control inspectors",22,3,598000,47460,0.177,0.177,-0.029,Low,3.44,2.5,1.81,2.927,0.417
51-9071,"Jewelers and precious stone and metal workers",22,3,35100,49140,0.134,0.134,-0.156,Low,2.782,2.625,2.082,3.035,0.205
51-9080,"Dental and ophthalmic laboratory technicians and medical appliance technicians",22,3,66800,45820,0.069,0.069,-0.363,Low,3.137,2.373,2.312,3.065,0.091
51-9120,"Painting and coating workers",22,6,174300,47390,0.02,0.02,-1.18,Low,2.689,1.937,2.25,2.638,0.022
51-9141,"Semiconductor processing technicians",22,3,31900,51180,0.062,0.062,-0.637,Low,3.315,2,2.25,2.914,0.234
53-2010,"Airline and commercial pilots",17,6,155400,198100,0.222,0.222,-0.194,Low,3.75,2.938,3.468,3.626,0.295
53-2021,"Air traffic controllers",17,7,24100,144580,0.307,0.307,1.153,Medium,4.125,3.06,2.69,3.966,0.341
53-2031,"Flight attendants",17,3,130800,67130,0.146,0.146,-0.762,Low,3.468,1.94,1.69,3.16,0.167
53-3032,"Heavy and tractor-trailer truck drivers",17,5,2235100,57440,0.173,0.173,-1.149,Low,2.878,2.185,3.375,2.891,0.279
